Num,CC,Opis,CC name
23040,1132230,OMS line - Spare parts with HIC,Assembly OMS
23050,1132230,OMEW line,Assembly OMS
23051,1132230,OMEW line,Assembly OMS
23055,1132230,Packing OMS - painted motors,Assembly OMS
23065,1132230,Packing OMS - not painted motors,Assembly OMS
23090,1132230,Hydraulic test - motor OMEW - NOR (36040,Assembly OMS
23091,1132230,Painting type 1- motor OMEW - NOR (50H10,Assembly OMS
23092,1132230,OMEW packing - NOR (50H40),Assembly OMS
24040,1132240,Modules Orbital X - main,Modules Orbital X
24041,1132240,Modules Orbital X,Modules Orbital X
25010,1132250,OX line - assembly test,Assembly Orbital X
25020,1132250,Packing OX,Assembly Orbital X
31010,1132310,Heat Treatment - NOR,HARDENING
31011,1132311,Manganese - NOR,MANGANESE
32010,1132320,MnPh Center,Manganese
32020,1132320,mycie DW1234 przed grub¥ warstw¥,Manganese
32030,1132320,Packing/Repacking MnPh,Manganese
32050,1132320,Dostarczenie pod MnPh WRC,Manganese
33010,1131195,hartownia BODYCOTE,Heat Treatment
33010,1131195,hartownia BODYCOTE,Heat Treatment
34010,1131195,Heat Treatment - Bodycote NOR,Heat Treatment
51010,1132510,Housing LAG,HOUSE_SU/ GEH
51015,1132510,Housing LAG,HOUSE_SU/ GEH
51020,1132510,Housing LAG,HOUSE_SU/ GEH
51025,1132510,Housing LAG,HOUSE_SU/ GEH
51030,1132510,Housing LAG,HOUSE_SU/ GEH
51035,1132510,Housing LAG,HOUSE_SU/ GEH
51040,1132510,Housing LAG,HOUSE_SU/ GEH
51045,1132510,Housing LAG,HOUSE_SU/ GEH
51050,1132510,Housing LAG,HOUSE_SU/ GEH
51055,1132510,Housing LAG,HOUSE_SU/ GEH
51060,1132510,Housing LAG,HOUSE_SU/ GEH
52010,1132520,Housing PV,HOUSE_VALV/LPS_VGEH
52020,1132520,Housing PV,HOUSE_VALV/LPS_VGEH
52030,1132520,Housing PV,HOUSE_VALV/LPS_VGEH
52040,1132520,Housing PV,HOUSE_VALV/LPS_VGEH
52050,1132520,Housing PV,HOUSE_VALV/LPS_VGEH
52060,1132520,Housing PV,HOUSE_VALV/LPS_VGEH
52070,1132520,Housing PV,HOUSE_VALV/LPS_VGEH
52080,1132520,Housing PV,HOUSE_VALV/LPS_VGEH
52090,1132520,Housing PV,HOUSE_VALV/LPS_VGEH
53010,1132530,Spool set soft,SPOOL_SET_SOFT/SV_W
53020,1132530,Spool set soft,SPOOL_SET_SOFT/SV_W
53030,1132530,Spool set soft,SPOOL_SET_SOFT/SV_W
